,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,ALDH1_inhibition
COc1ccccc1CC(NC(C)=O)C(=O)NC1CCN(c2nnnn2-c2ccccc2)CC1,0.8736914530865499,1.0117885457888798,-0.1821388824360774,-0.22395572498042926,0.4921364905199712,0.13599293985280428,-0.12753859697059186,0.019636553968930163,-0.26877023441199416,0.09662433336999879,-0.30503476999607965,-0.1909609810679317,0.06750065994306649,-0.0935203739442724,0.2873824782133288,0.4212364768161089,-0.18803214640328608,-0.2581992995762704,-0.0792767046777135,-0.0029006699663071396,-0.060124986876093585,0.10694093493429392,-0.22139040110719005,-0.17154096300144292,0.1942450207831836,-0.03929531132550905,-0.026117097567989616,0.1954991910035813,-0.11299821257621799,-0.1886527904483621,-0.057516759573777616,-0.0011674338533014554,0.11953403121474976,Yes
O=C(CSc1nc2cccnc2n1Cc1ccccc1)NCc1ccco1,-0.07039627294025348,0.8360681106913457,0.06800899208660162,-0.3726550521411638,-0.19505392348004413,0.07308428835183496,-0.009112933871288413,0.026222436494410917,0.1421337754610203,-0.40466770199493796,0.18328407726836374,-0.12231800715549156,0.32990815305521526,-0.11028699651163419,-0.2119895162445198,-0.11202747720972758,0.22134510681677605,-0.30227514850855747,0.0075949922791651294,0.010566833180447354,0.09637179424100438,0.01599404168186597,-0.05308111643261756,-0.042898556398606465,0.13881625040321371,0.10978585506561993,0.07853093443381116,-0.16875313531158015,0.2083802485271676,-0.10907765847744348,-0.06645105971366684,0.07056528993463577,-0.050424025523324735,Yes
Cc1cccc2cc(C[NH+](CC3CCCO3)C(c3nnnn3Cc3ccco3)C(C)C)c(O)nc12,0.5687905157982682,1.0499374721520693,-0.1807319454927669,-0.860062572674864,0.4271297120905953,-0.5032039256838753,-0.012246993110817138,0.5236856889398022,0.08588189837610706,-0.49893538849795,-0.10742968115779913,0.3658004054595845,-0.039250211532834374,-0.26515418556571535,0.14068387807231747,-0.16085879171848697,0.016718949112386743,-0.3416850628363551,-0.1365794529512753,-0.00714071942819294,-0.04433030163930072,0.15990234337096695,-0.09568120223020947,-0.25908160252954293,-0.16542981062650713,-0.001813592577750492,-0.0167091136838548,0.3219219538541607,0.04622189510905886,0.034102601829311165,-0.25208613544217456,0.010066520761736874,0.1770054457972628,Yes
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,-0.3586227702594748,-0.4210551497562993,0.059214370711212085,-0.008505387423631626,-0.3129046316082914,0.39209839208210084,0.25875797539026907,0.15675445811935768,0.2730094462866725,0.20533543144538383,-0.012199210167765415,0.257039619836672,-0.11212169195464652,-0.16651736529249084,-0.10779760196784158,-0.056198803936234665,-0.2749253023627259,0.21475706584947032,0.12681673906021804,-0.17942961003781122,-0.09729676356118046,0.2671097547934847,-0.11745845062252397,0.19413516853886048,-0.0767423403132011,0.07592259878247566,0.20618338446267295,0.11678950576502796,-0.17968429087833598,-0.1955187972990654,-0.12043963166764445,-0.23287952045431556,-0.01675683715154322,Yes
CS(=O)(=O)N1CCc2cc(-c3csc(NC(=O)Cc4cccs4)n3)ccc21,0.4374168232765611,0.47439416620776764,0.31200229581462535,-0.17639334025494477,-0.2555403382906888,0.2715138809369774,0.048435429958501856,0.3324706833496888,-0.14418899817912187,0.215460834075294,0.015156141306816086,0.1407318518175744,0.12944568470784087,0.08626607407209587,-0.24338164815345972,-0.06661293810194936,-0.10156069795810889,-0.04244171056161516,-0.20209450148990077,0.1383979528342058,-0.04373567250118238,0.23816821630305837,-0.4479931033342804,0.35034639740587353,-0.017318918829450903,0.08743604809461096,-0.01802606104462402,-0.3053165519832467,0.16889437953658362,0.08341077372346155,0.06200575595186991,-0.06516481149225321,-0.20632824268151137,Yes
CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2cccc(-n3cnnn3)c2)cc1,0.6092734111273342,0.6264896049701378,0.36317173548911696,-0.17930523993052894,-0.25705562962062417,-0.08812591438869624,-0.1886710077318291,0.29545325841352255,-0.1517532575797503,0.06279763390370871,-0.2683794288340391,-0.25707124191704744,-0.3025525727021839,0.4486803348585285,0.12058426220132562,-0.10903487514585562,0.01172748729672085,-0.20295521784684198,-0.06541129344923809,-0.03211706327868533,-0.04614685070870417,-0.07740152637604847,-0.042178094341555096,0.038571309495790504,-0.14231846378696175,-0.07236776771435621,0.22184012698042138,0.09533018832115141,-0.0663290284593368,-0.008797168090541763,-0.16157338765951054,0.04709987018520865,0.3074001267864807,Yes
COCCN(C(=O)C(F)(F)F)C(C(=O)NC1CCCCC1)c1ccco1,0.9277671435562522,-0.5504610728114204,0.5438611710368823,0.11103157468433847,-0.12271432056805147,-0.3540285579508112,-0.25164013318331085,0.2448168591203742,0.00041783964335814354,-0.2574011557778834,0.012551719745818578,0.13137142298547375,0.36537611097816636,-0.1823034613157855,0.22482085447512704,0.2504673672915922,-0.0672015528397584,0.2844701042720688,0.20035471160102886,-0.16512813467216633,-0.23613152896171227,-0.33490661770538077,-0.24433554045405856,0.03999316628897974,0.04799388085610479,-0.10812604971064116,0.02637305469960806,-0.039593662877521606,-0.06755538377419083,-0.021330719113336394,0.011786150608865587,0.18674550688627647,-0.0962034931008175,Yes
COc1ccccc1N1CCN(C(=O)CSc2nnc(-c3ccoc3C)o2)CC1,0.49620228714892567,0.7896582038926306,0.07989347430020928,-0.23628725129191155,0.31799907960635976,-0.038008741890879626,0.6006014793193633,0.04496481532677496,-0.03283786310055119,0.20265069770617353,0.02487153289827016,-0.27272968877488873,-0.22867787048567592,-0.23909952318177066,-0.38140534629776446,0.14002229168861666,-0.07272358527468928,0.08287573184456368,0.0995888870482225,0.03354561209733601,-0.05180573634581746,-0.3193241111280992,-0.1746514513584556,0.022805280296399548,-0.01327289050919878,-0.16073671396940883,-0.16384914677959223,0.1231094181072398,-0.020037401964578632,0.06185626855483186,0.08734824823106704,-0.04285374408976723,-0.056360010771473665,Yes
O=c1c2ccccc2nc(SCc2ccccc2)n1Cc1ccco1,-0.34108002270855386,0.7340157623783514,-0.28316875815176273,0.13186364194298483,-0.48288402130332664,0.07951505577579968,0.12872740054676943,0.016632571015244204,-0.15163111873351243,-0.14274571609641912,0.3047083800563921,-0.16377650253191386,0.04213026287221918,-0.17325574450189177,-0.24864150892638387,-0.12463407195445494,0.06324952787531407,-0.128355964397754,-0.009922565487396891,-0.008768485108153517,0.09014346529469439,-0.24646040717759649,-0.018191178456448194,-0.1923641270072989,0.03864317168920232,0.09449886228308463,0.06400946436192657,-0.2345328106498805,-0.08429527733005507,-0.09418000986431378,0.009162077941103849,0.0059024862260149075,-0.08089094186305905,Yes
N#Cc1c(NC(=O)CSc2nnnn2C2CCCC2)sc2c1CCCC2,0.32043255640343815,0.21177637526616624,0.3679495796776251,-1.0201590247971655,-0.25612339695799524,-0.027778918261103885,0.1879189190624096,-0.05922587136869784,-0.4497194233561682,-0.4246398750727279,-0.11749969917405348,0.31230474715409257,-0.3482567346552731,0.1162914770823093,-0.08804380187122034,0.05669192148144089,0.0577840687232512,-0.3159673812061368,0.2910789971578677,0.15197218949158064,-0.06583971658714517,-0.02878139438928236,-0.18332796894719225,-0.009766646213753847,-0.039684402245200597,-0.04533115068761009,-0.1409027375773103,0.04752741361479674,0.03194557183361345,-0.12187688527169356,-0.11067690175670754,0.17571147762339914,-0.14296533526708036,Yes
