,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,ALDH1_inhibition
COc1ccccc1CC(NC(C)=O)C(=O)NC1CCN(c2nnnn2-c2ccccc2)CC1,0.8736914566937082,1.0117887928920033,-0.1821372088738234,-0.22395797697893827,0.4921372600331596,0.13599210939825057,-0.12754412078700633,0.01963705144317649,-0.2687954916880945,0.09662495844702794,-0.30500586248449174,-0.1909640741665559,0.06737947622919165,-0.09351024707846645,0.28741692450179407,0.4211875984310567,-0.18775862115367764,-0.25805648561425304,-0.07919392974016937,-0.0018050377997380785,-0.06100159854443614,0.10860252838253633,-0.2219653980570089,-0.16935706860279962,0.2008631725992287,-0.03573920964509429,-0.028454194037491196,0.19541922451550356,-0.10962183041608996,-0.19637220407376765,-0.05511909058114551,-0.007487934540379498,-0.11386941416224805,0.11224307611725722,-0.11435419717439992,-0.20957353037499252,0.06841680883730615,-0.11655794695232184,-0.030325163890352967,-0.09065678290820899,0.08494852410804102,-0.05523460872458783,-0.020867025350046302,-0.0261512155898772,-0.08148394545084639,0.023748941540138613,-0.10488618914753586,-0.03368962827761187,0.0011059654725874923,0.0375538018265616,0.010406943929940116,-0.09988748009212631,-0.01974409296098749,0.0592913227084286,-0.023418820276711785,-0.02935652068655319,0.05160115611033074,0.016851507419794683,0.014852254129819695,0.013736118155107049,0.016586974909674344,-0.025134280968269904,0.08486646504531081,-0.0432918013439945,0.009362510541940688,Yes
O=C(CSc1nc2cccnc2n1Cc1ccccc1)NCc1ccco1,-0.07039627114031025,0.8360681734221737,0.06800875688668567,-0.37265433959606614,-0.19505420022610015,0.0730829651982785,-0.00911278554401862,0.02621764021198217,0.1421265701920585,-0.4046627165721415,0.18328296447449763,-0.12228630285345149,0.3298221002681134,-0.11034210808872753,-0.21212576961710197,-0.1122212084096796,0.22133771718366327,-0.3021889611382257,0.0074047632366262784,0.010560252079216707,0.09671494305997924,0.016894572670140193,-0.053022869495690746,-0.04161007945797669,0.13889745367092218,0.1070569826394476,0.08406614281479872,-0.16808739858113153,0.20657615333365473,-0.10944602016245644,-0.0619176899417434,0.06482449367523957,0.04460115457328637,0.044396954090167744,-0.12612738311210503,0.173454000176458,-0.14442847364547076,0.03477571885114845,0.1358344219811081,0.010152741548526956,0.020177795633563266,0.03999852079733512,0.144614932751299,0.009750158154013666,-0.005407763371220918,0.006681980123775542,-0.027566372066101172,-0.06369986099454018,0.044567979307091,-0.04931416950045876,-0.07963490401021428,0.06717185642292503,0.06049374933613245,0.0020691169354418253,-0.052997432294064596,0.035444382726094126,-0.005968945278256383,-0.010963349581885534,-0.009464988670940297,-0.0078032266683380576,0.017666189231171834,-0.034704446697801275,0.03291587763251421,0.013389704296561843,-0.002869128993522983,Yes
Cc1cccc2cc(C[NH+](CC3CCCO3)C(c3nnnn3Cc3ccco3)C(C)C)c(O)nc12,0.5687905156146281,1.0499377330333368,-0.18072994451801339,-0.8600656668220922,0.42712021640494235,-0.5032077395776453,-0.012252667302409209,0.5236892867011357,0.0858290132581793,-0.498983153938049,-0.10737423602626144,0.3659005911949278,-0.03944826849596772,-0.2652309675027979,0.1405040726381623,-0.16105605306278628,0.017050836966889967,-0.34149779027912236,-0.1366617831950141,-0.006673532843541648,-0.044900846806715175,0.1621355097632048,-0.09649801054852376,-0.25747874760198725,-0.15708908559845744,0.005153860371885317,-0.023328452947174377,0.32290812198906466,0.04581322710001881,0.028549917186004435,-0.25683359408895345,0.0028984737564153513,-0.17226188100351444,0.1131350679175747,0.04348909597246995,0.09974963955800994,0.1496473410877814,-0.02507363991217475,0.07205606800816278,0.018148193668521863,-0.12564529167959146,0.09511727698408187,-0.054488454224527014,0.14287209975576262,-0.16698163026622934,-0.004422739057781244,-0.015889798890368213,-0.013343624296001133,0.13466386467546204,0.031985299591928265,0.06963354531037842,-0.02938013578080719,-0.04160413705758757,0.006134732701350893,0.038364487580788906,0.0723545481147751,-0.035207779806485054,0.0022957830086610927,0.015038230289674976,0.11328458324705272,-0.034381572423896944,0.05009438068105302,0.10131111759610699,0.03104772707614269,-0.08173119699313347,Yes
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,-0.35862277151464844,-0.42105525459151955,0.059213259287512185,-0.008504465042557955,-0.3129082575338305,0.39209825782839186,0.2587609718921117,0.15675320560824216,0.2730246827537145,0.20533220369629476,-0.012209257808371938,0.25706323832962746,-0.11214213694933457,-0.16655787963460242,-0.10796110154037956,-0.056268175480680846,-0.27493789774659305,0.21484123277161887,0.12668417805281934,-0.17972581267566898,-0.09742713599508965,0.26806909387360767,-0.11602256307017447,0.19420882578120688,-0.08040713434416466,0.06767760979855084,0.20621353824950905,0.11713319565062358,-0.1811765691097663,-0.19556826408531908,-0.12596950651901373,-0.23520262181944326,0.01369191186493752,0.026640489537825447,-0.020072107613591402,0.20419072740476102,-0.14770436200627104,-0.09085838267865953,-0.06209719684844603,0.011273865391149435,0.12152591932728063,0.07430525103363687,0.2602259155059025,-0.11628281112757399,0.01898686538937456,-0.035257692012326335,-0.030290038740016383,0.10636490099909492,-0.028323290841075897,-0.14007308261166435,0.05325254151663506,-0.11379879920249754,-0.021336356122571207,-0.019589324157742716,0.023022370569157066,-0.012544557895022899,-0.03173678976423358,-0.13138900335827078,-0.018419549836358528,0.004820471531834477,-0.06628130243282965,-0.05248630609612772,-0.02690422404577571,-0.03393047243992126,-0.015813646776483375,Yes
CS(=O)(=O)N1CCc2cc(-c3csc(NC(=O)Cc4cccs4)n3)ccc21,0.43741683157853445,0.4743937710958694,0.3119991398287519,-0.17638732989072037,-0.25554567284980256,0.27150913200352117,0.04843452459835203,0.3324801511363925,-0.14417086599836576,0.215421659854558,0.015179906370534242,0.14077052680702973,0.12971013528068334,0.08625852482862625,-0.2432216213535497,-0.06666600560083169,-0.10200213673183689,-0.04269881396838167,-0.20183109747778988,0.13643739491094195,-0.0426572464100265,0.23875890933768656,-0.44632164390110757,0.35058885936867146,-0.027207206881173625,0.07861050321785631,-0.01174468832801921,-0.30504314405657446,0.16554189468681704,0.10297593224814898,0.049759734968475446,-0.04213546719554382,0.21508827300382014,-0.2717046181002092,-0.013068593719168372,-0.13395767011678159,0.09476653090393619,0.13985658752913455,-0.261708733433076,0.009519787822640714,-0.09317276981163278,-0.16293091360122336,-0.07681840441554111,-0.014497884831949364,-0.07039398073758944,0.1122942433261761,0.011913282094116356,-0.00994268752018711,0.050242885255465365,-0.07668350863310966,-0.10563799658047233,-0.017826929330802526,0.04276075807111717,-0.07030857090850327,-0.08570085163655218,0.039410062071045485,0.023356912423724875,0.10312044179222282,0.005545963011744582,-0.068379686903584,0.09060705046561626,0.03322562743245841,-0.018885578625144752,0.05847330469258681,0.03874133007639224,Yes
CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2cccc(-n3cnnn3)c2)cc1,0.6092734149952181,0.6264896078070039,0.36317178101070874,-0.17930510568931368,-0.2570575048830721,-0.08812783036007595,-0.18867156864770224,0.2954579884652344,-0.15175831048044422,0.06278816499382646,-0.2683657384542314,-0.2570459879274744,-0.3025735116786185,0.44868878444099425,0.12059375492830016,-0.10910126232213131,0.01169356127929864,-0.2029746582940472,-0.06538075504051476,-0.03231037697177395,-0.046193353009728204,-0.07731506191299173,-0.04249123657270853,0.037454409886400954,-0.14262713715288206,-0.08362588122960234,0.21586164630854918,0.09564693731347589,-0.06611882020812394,-0.008365396506893864,-0.16398819795377606,0.04349427435071006,-0.30581786604811256,-0.026170092889637633,-0.010689947750485037,-0.1553527604045811,-0.02427359770994576,0.03885159702022851,-0.12267700039611627,0.05766607173338691,0.0697334954370529,-0.0054155927680508585,-0.007884580638419144,0.004325665006742374,-0.050066779397322486,0.03574323623464467,-0.011683744636895447,-0.027538629599551088,-0.04558390074141981,0.054394200752367394,-0.0010434512146324788,-0.025175915306666866,-0.0016483563070667805,0.07236508567784569,0.06269917814287418,0.04954165186975763,-0.032475673289652535,0.03246609499370809,0.02757643319679715,0.04625013762277429,-0.011369311088425545,0.04467161882034911,0.0016902630289563395,-0.013626569746152015,-0.050253629016788495,Yes
COCCN(C(=O)C(F)(F)F)C(C(=O)NC1CCCCC1)c1ccco1,0.927767155019384,-0.5504606702480708,0.5438624626735459,0.11103090543401198,-0.12270067586786258,-0.3540285932313838,-0.25164761130135993,0.24480909963241296,0.00040113785136559177,-0.25735726055785174,0.012547485739658883,0.1313101216146589,0.36520451427157036,-0.18229638855187372,0.2247848999323133,0.25035671153070255,-0.06695800649796038,0.28483213505406196,0.20038376571189956,-0.16398947143852535,-0.2363209129025413,-0.3349654999731689,-0.2455697452435707,0.03713805118664774,0.04927556414189494,-0.10825177448640418,0.025095768270838033,-0.03858580434739725,-0.06509491860200002,-0.03236215210464908,0.026170196534656683,0.18018830835480473,0.08857180417350838,0.07486205458580203,-0.1786909594874022,-0.12688499427298408,-0.17375867981046395,-0.10349205221144675,0.24551933160855627,0.05238823199207564,0.05609932581664169,-0.11660391159647455,-0.07806499146571785,0.10953398339279964,-0.02538177936148191,0.002981971780874803,-0.1080445211900077,0.11299700057510659,-0.06158896744132621,-0.1764410473852422,0.08555719147292284,0.021392780897899002,0.043495909705091707,0.01886658587168994,-0.030496547326296027,0.022630629561862136,0.00944253527380187,-0.011087729933404898,-0.030184706046951268,0.04254061058971913,-0.034812458819341405,-0.01709909724449931,-0.05039987320269098,-0.026935365214968816,-0.05150883084481529,Yes
COc1ccccc1N1CCN(C(=O)CSc2nnc(-c3ccoc3C)o2)CC1,0.49620229113050157,0.789658292147738,0.07989361328376339,-0.236286882215523,0.31800341868837884,-0.038009010574893094,0.6005975964164337,0.04496216383146289,-0.03284725154031206,0.2026542831679724,0.02487638618613438,-0.2727518592341423,-0.22868574441658923,-0.23910642224343526,-0.38138454232763686,0.14005064426088343,-0.07264650437183645,0.08300278493596609,0.0996819395596108,0.03378199982014912,-0.05172895767228963,-0.3191902962197234,-0.17611244453026328,0.021952559887773865,-0.012561758290225569,-0.15158948125734656,-0.1706517638266906,0.12368477546112756,-0.018911780487397306,0.05669583265585813,0.0929255142580388,-0.043172310121867244,0.0589544856907794,0.09179328947480425,-0.030012658910664368,0.08098010728266747,0.1356525389219078,-0.2855859327279848,0.06083837176648118,-0.21669867532875162,0.024985525338835145,0.027952065854951413,-0.037433490872926536,0.007578532700332238,0.03103027527345984,0.09097112056503971,-0.06455085639639316,0.05102711558727497,-0.024969138554039216,-0.16069710576451945,0.06662390107536868,-0.015373850544605378,-0.0712885590879603,0.0461992823502698,-0.019458701186170286,-0.01951212928229344,-0.014701200526013116,-0.0058036530788322,-0.023439228183419487,0.06958849638435938,-0.06563552732105517,-0.017628474407165355,-0.042654204201882304,-0.07054268302958307,0.07418011996467544,Yes
O=c1c2ccccc2nc(SCc2ccccc2)n1Cc1ccco1,-0.3410800268703032,0.7340157021335078,-0.28316952950478796,0.1318641342866959,-0.4828867135165241,0.07951591305446618,0.12873050950192938,0.01662798794407952,-0.15161860948753053,-0.1427408181599587,0.30469297049676525,-0.16376667605442802,0.04211737759873025,-0.17330016823949526,-0.24877931034951334,-0.12467880151387406,0.06324879018069783,-0.1283083910273612,-0.010046048147394526,-0.00895913499118813,0.09038568951427292,-0.24581750524698068,-0.018575262505784694,-0.1912326067465677,0.03916543834355631,0.092637336292372,0.06682641599157951,-0.23452723664242406,-0.08615712394715778,-0.09351310585501497,0.004883980485406598,0.005045449078488147,0.07767382071208613,-0.030909467216267975,0.006243488249468517,0.032369840414797714,-0.0513646577031357,0.027659031589453903,0.11155326805231888,-0.08159903048362055,0.044792189785458826,0.1350278721688268,0.26563860073402,-0.05830406478412736,0.0016648602838147091,-0.060898660216293025,-0.02195838233239035,0.03944251938527076,0.010386683216271949,-0.10470929327836993,0.017370964822788017,-0.010653473383658124,0.10704875381271918,-0.0022487348701613844,-0.013784906705794622,0.0037934333665500318,0.007634612610935555,-0.008051501485496366,-0.02831163782627446,0.013381503960121607,0.0006155962587312497,0.017961440105974037,-0.000571108545723713,-0.010249833300985242,-0.02113365713441866,Yes
N#Cc1c(NC(=O)CSc2nnnn2C2CCCC2)sc2c1CCCC2,0.3204325522726187,0.21177630540524955,0.3679508351537808,-1.0201604049499577,-0.2561179916775948,-0.027775873337488825,0.18791460703704893,-0.05921724304078656,-0.4497217793925147,-0.42465884535991083,-0.11749613163213965,0.31223708125563704,-0.34805770816867526,0.11637806597542084,-0.08773923647587525,0.05716123313445439,0.05783874680037079,-0.316141490921645,0.29132110050699295,0.15245627749295204,-0.06631224466216529,-0.029834779045029167,-0.18437714170176267,-0.011486234078272609,-0.037296844056870476,-0.0412391003033143,-0.13813501792686703,0.04751614362438754,0.03680127463274569,-0.1189834482571482,-0.10988188497276152,0.18120921488023312,0.14001625583614022,-0.14300273842894828,-0.08804657505815425,-0.08559541918440544,0.03831790561633038,0.030654463688240593,-0.09884242866481537,0.1295567656426879,0.10819822507329278,-0.15114780037284925,-0.14645423177906766,-0.1501045093653713,0.019541993212105185,-0.031010818324748602,0.14426062391904634,-0.09945577360093605,-0.07596883544509436,-0.07448054791993057,-0.03982997522157653,0.011904509272642161,0.05402011290138805,0.025240491758467685,-0.046181484672398763,-0.04572280889982426,0.030452113615744736,0.103451752749862,0.09478842511805197,-0.018547192915544755,-0.022062506810544415,-0.01287181950389101,0.021202705731846624,0.0005088811750505817,0.012401690473299745,Yes
